STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2012,81,80,14,88,0,88,82,61,21,2,0,14,240,373,104,269,56,25,216,3,35,2172,7,90,155,498,0,400,1079,5710
ANDHRA PRADESH,ANANTAPUR,2012,173,123,3,18,0,18,74,63,11,14,1,6,211,581,155,426,41,12,168,3,24,2018,19,195,8,130,0,576,1043,5441
ANDHRA PRADESH,CHITTOOR,2012,91,75,5,28,0,28,56,49,7,3,0,10,136,501,208,293,32,9,217,4,27,622,33,90,269,339,0,520,1398,4465
ANDHRA PRADESH,CUDDAPAH,2012,118,96,2,26,0,26,76,44,32,4,0,9,136,513,154,359,114,76,332,0,6,2355,13,217,37,120,0,500,1360,6110
ANDHRA PRADESH,CYBERABAD,2012,198,113,10,75,0,75,158,102,56,14,0,86,1101,4461,1887,2574,28,168,1762,8,48,4013,45,183,282,976,0,1095,3155,17979
ANDHRA PRADESH,EAST GODAVARI,2012,70,94,3,71,0,71,54,40,14,1,0,16,345,861,281,580,31,82,204,16,38,2222,17,248,160,536,0,559,1317,6945
ANDHRA PRADESH,GUNTAKAL RLY.,2012,7,0,0,1,0,1,1,0,1,1,0,3,0,268,0,268,1,1,0,13,1,11,1,1,1,2,0,2,24,339
ANDHRA PRADESH,GUNTUR,2012,96,68,1,23,0,23,63,53,10,0,0,6,146,708,176,532,31,25,261,25,33,2309,21,252,83,656,0,461,2103,7371
ANDHRA PRADESH,GUNTUR URBAN,2012,56,53,3,24,0,24,42,32,10,2,0,29,155,904,409,495,11,16,294,7,15,1072,9,84,83,687,0,229,912,4687
ANDHRA PRADESH,HYDERABAD CITY,2012,102,166,6,74,0,74,88,31,57,12,0,57,647,3694,1370,2324,354,71,2131,25,101,3381,23,145,141,1339,0,503,2932,15992
ANDHRA PRADESH,KARIMNAGAR,2012,128,112,11,40,0,40,141,98,43,4,0,25,326,860,228,632,112,65,678,3,63,2636,46,224,232,759,0,574,1952,8991
ANDHRA PRADESH,KHAMMAM,2012,130,110,7,78,0,78,73,62,11,5,0,14,284,528,157,371,150,22,251,9,33,1956,13,233,172,231,0,547,1195,6041
ANDHRA PRADESH,KRISHNA,2012,78,53,1,67,0,67,67,55,12,2,0,9,263,673,139,534,26,54,218,7,52,2601,16,341,309,791,0,415,1168,7211
ANDHRA PRADESH,KURNOOL,2012,111,143,4,22,0,22,58,46,12,3,0,18,246,518,4,514,71,13,329,5,34,2382,15,331,75,166,0,549,1594,6687
ANDHRA PRADESH,MAHABOOBNAGAR,2012,182,90,15,56,0,56,76,70,6,3,0,16,235,961,9,952,58,24,189,4,38,1870,27,154,45,204,0,796,1442,6485
ANDHRA PRADESH,MEDAK,2012,113,43,5,26,0,26,54,45,9,6,0,17,409,693,158,535,130,21,324,2,52,1674,20,112,55,475,0,641,1198,6070
ANDHRA PRADESH,NALGONDA,2012,86,88,6,52,0,52,89,79,10,9,0,20,323,802,191,611,115,44,400,5,70,2995,20,246,264,302,0,800,2198,8934
ANDHRA PRADESH,NELLORE,2012,94,86,1,23,0,23,90,72,18,5,0,42,292,833,255,578,22,107,163,5,45,2550,9,210,142,405,0,490,1240,6854
ANDHRA PRADESH,NIZAMABAD,2012,113,48,12,35,0,35,38,23,15,4,0,15,345,613,178,435,66,33,297,3,47,1332,19,100,102,596,0,444,1280,5542
ANDHRA PRADESH,PRAKASHAM,2012,108,117,5,37,0,37,84,69,15,2,0,27,258,674,230,444,41,68,362,9,19,2523,16,213,47,263,0,491,1311,6675
ANDHRA PRADESH,RAJAHMUNDRY,2012,23,25,3,13,0,13,9,5,4,0,0,7,120,337,99,238,0,34,93,1,5,734,3,49,35,183,0,171,280,2125
ANDHRA PRADESH,RANGA REDDY,2012,72,27,5,27,0,27,22,21,1,5,0,11,148,175,33,142,22,5,79,0,26,600,16,58,31,152,0,190,423,2094
ANDHRA PRADESH,SECUNDERABAD RLY.,2012,4,0,0,2,0,2,0,0,0,0,0,3,0,787,0,787,0,0,4,13,0,9,0,5,5,0,0,4,80,916
ANDHRA PRADESH,SRIKAKULAM,2012,35,40,1,39,0,39,18,18,0,1,0,9,112,179,7,172,9,14,107,1,21,1511,3,116,69,312,0,272,949,3818
ANDHRA PRADESH,TIRUPATHI URBAN,2012,37,29,2,12,0,12,25,14,11,0,0,13,188,630,197,433,22,7,172,2,6,672,6,21,11,96,0,197,461,2609
ANDHRA PRADESH,VIJAYAWADA CITY,2012,42,56,6,47,0,47,66,39,27,1,0,60,221,1385,567,818,16,123,416,6,33,1961,16,223,418,1136,0,370,1084,7686
ANDHRA PRADESH,VIJAYAWADA RLY.,2012,7,1,0,0,0,0,3,3,0,3,0,4,0,597,0,597,0,0,0,50,0,18,0,5,6,1,0,3,34,732
ANDHRA PRADESH,VISAKHA RURAL,2012,67,29,4,27,0,27,22,13,9,0,0,3,120,224,76,148,52,16,84,4,13,992,9,67,20,134,0,336,510,2733
ANDHRA PRADESH,VISAKHAPATNAM,2012,44,27,1,50,0,50,27,20,7,14,0,27,366,1062,301,761,12,68,252,6,10,1207,11,23,11,412,0,395,601,4626
ANDHRA PRADESH,VIZIANAGARAM,2012,44,36,7,44,0,44,21,20,1,2,0,4,162,263,2,261,1,11,118,0,15,1504,3,96,103,363,0,289,1396,4482
ANDHRA PRADESH,WARANGAL,2012,75,47,10,56,0,56,66,58,8,3,0,22,262,388,69,319,173,5,197,6,25,1482,20,117,34,101,0,306,1327,4722
ANDHRA PRADESH,WARANGAL URBAN,2012,41,17,1,30,0,30,41,39,2,2,0,14,193,421,98,323,70,3,281,1,8,1071,9,71,74,267,0,226,742,3583
ANDHRA PRADESH,WEST GODAVARI,2012,91,91,4,130,0,130,86,59,27,4,0,52,452,1008,294,714,11,49,403,14,37,2313,19,296,235,757,0,578,1237,7867
ANDHRA PRADESH,TOTAL,2012,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522
ARUNACHAL PRADESH,ANJAW,2012,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,2,0,1,0,0,0,3,0,0,0,0,0,0,5,15
ARUNACHAL PRADESH,CHANGLANG,2012,7,6,0,6,0,6,12,7,5,2,0,4,22,31,0,31,4,6,4,0,0,42,1,5,0,4,0,3,64,223
ARUNACHAL PRADESH,DIBANG VALLEY,2012,4,0,0,2,0,2,5,4,1,2,0,2,8,16,4,12,0,0,1,1,1,13,0,2,0,1,0,6,14,78
ARUNACHAL PRADESH,K/KUMEY,2012,1,0,0,2,0,2,1,1,0,1,0,0,0,5,0,5,0,2,1,0,0,6,0,1,0,0,0,1,8,29
ARUNACHAL PRADESH,KAMENG EAST,2012,9,1,1,6,0,6,2,2,0,2,0,4,8,9,0,9,0,2,8,0,0,43,0,1,0,0,0,5,39,140
ARUNACHAL PRADESH,KAMENG WEST,2012,6,1,0,0,0,0,3,1,2,1,0,1,11,14,4,10,0,2,1,0,0,30,0,1,0,2,0,18,21,112
ARUNACHAL PRADESH,LOHIT,2012,11,4,0,3,0,3,12,5,7,1,0,7,28,38,7,31,0,6,5,0,0,20,0,11,0,2,0,17,61,226
ARUNACHAL PRADESH,PAPUM PARE,2012,4,5,0,7,0,7,20,15,5,4,0,15,30,102,40,62,10,13,40,0,17,62,0,8,2,3,0,15,148,505
ARUNACHAL PRADESH,RURAL,2012,6,1,0,6,0,6,4,3,1,0,0,1,9,11,5,6,2,5,6,0,2,20,0,8,0,1,0,3,19,104
ARUNACHAL PRADESH,SIANG EAST,2012,5,0,0,6,0,6,1,0,1,2,0,6,16,46,15,31,0,1,2,0,1,16,0,4,0,1,0,10,53,170
ARUNACHAL PRADESH,SIANG UPPER,2012,1,1,0,1,0,1,3,3,0,1,0,0,6,11,0,11,5,2,3,0,1,7,0,0,0,3,0,2,4,51
ARUNACHAL PRADESH,SIANG WEST,2012,4,1,0,2,0,2,4,4,0,0,0,8,18,38,12,26,4,7,2,0,4,54,0,6,0,7,0,5,54,218
ARUNACHAL PRADESH,SUBANSIRI LOWER,2012,4,1,0,0,0,0,4,2,2,1,0,7,12,12,3,9,0,5,4,0,3,33,0,5,0,2,0,4,39,136
ARUNACHAL PRADESH,SUBANSIRI UPPER,2012,3,0,0,4,0,4,4,4,0,0,0,4,5,19,0,19,0,0,3,0,3,61,0,11,0,0,0,4,47,168
ARUNACHAL PRADESH,TAWANG,2012,2,0,0,0,0,0,0,0,0,0,0,1,8,16,0,16,1,1,1,0,0,2,0,1,0,0,0,1,12,46
ARUNACHAL PRADESH,TIRAP,2012,6,7,0,1,0,1,6,6,0,3,0,5,26,31,5,26,2,2,4,0,1,25,0,2,0,0,0,0,66,187
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2012,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,12
ARUNACHAL PRADESH,TOTAL,2012,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,2420
ASSAM,BAKSA,2012,38,7,0,33,0,33,62,50,12,5,0,14,22,104,26,78,3,6,14,0,4,66,3,4,0,15,0,31,233,664
ASSAM,BARPETA,2012,34,21,1,98,0,98,225,224,1,18,0,42,165,214,55,159,314,164,83,1,39,225,5,67,0,638,0,164,2246,4764
ASSAM,BIEO,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16
ASSAM,BONGAIGAON,2012,17,9,0,50,0,50,73,59,14,9,1,5,63,147,52,95,54,25,21,4,7,150,6,15,0,169,0,72,484,1381
ASSAM,C.I.D.,2012,1,0,0,4,0,4,2,1,1,0,0,0,0,5,0,5,0,3,0,0,0,0,0,0,0,0,0,0,50,65
ASSAM,CACHAR,2012,72,0,0,94,0,94,175,163,12,13,0,13,264,573,198,375,226,51,75,0,18,475,19,11,0,551,0,86,1942,4658
ASSAM,CHIRANG,2012,40,4,0,24,0,24,40,30,10,5,0,6,59,63,18,45,23,12,6,1,29,16,0,11,0,78,0,12,289,718
ASSAM,DARRANG,2012,36,3,0,88,0,88,191,168,23,9,0,16,160,160,41,119,48,83,97,0,10,300,9,246,0,387,0,68,696,2607
ASSAM,DHEMAJI,2012,24,10,0,74,0,74,87,61,26,5,0,15,40,101,29,72,11,13,32,0,7,96,2,17,0,82,0,21,470,1107
ASSAM,DHUBRI,2012,65,46,1,159,0,159,315,305,10,12,1,20,189,254,57,197,572,121,144,9,56,590,13,218,1,729,0,62,1056,4633
ASSAM,DIBRUGARH,2012,81,33,2,50,0,50,134,75,59,8,0,25,117,560,128,432,24,68,33,3,23,256,0,138,0,316,0,107,1019,2997
ASSAM,G.R.P.,2012,15,0,0,3,0,3,4,3,1,4,0,16,8,154,7,147,33,10,46,2,10,3,2,3,1,10,0,25,162,511
ASSAM,GOALPARA,2012,55,44,3,65,0,65,84,68,16,20,2,32,134,293,132,161,108,0,56,0,32,170,3,97,0,323,0,86,808,2415
ASSAM,GOLAGHAT,2012,58,34,0,60,0,60,181,154,27,8,2,54,100,231,77,154,16,9,58,4,25,474,1,72,0,226,0,201,431,2245
ASSAM,GUWAHATI CITY,2012,83,6,3,78,0,78,341,326,15,14,0,275,816,2426,870,1556,40,173,330,19,11,320,9,90,0,237,0,165,3294,8730
ASSAM,HAILAKANDI,2012,24,13,0,56,0,56,96,65,31,11,0,6,33,149,23,126,176,14,40,0,15,51,6,52,0,125,0,32,423,1322
ASSAM,HAMREN,2012,9,0,0,3,0,3,16,12,4,0,0,3,19,36,3,33,3,9,1,0,3,21,0,2,0,3,0,9,13,150
ASSAM,JORHAT,2012,36,36,0,42,0,42,106,95,11,3,0,41,124,435,136,299,11,45,117,2,14,332,1,53,0,254,0,178,782,2612
ASSAM,KAMRUP,2012,48,11,2,54,0,54,121,107,14,14,0,22,125,361,117,244,58,49,61,3,9,173,5,70,0,172,0,111,3553,5022
ASSAM,KARBI ANGLONG,2012,35,24,1,28,0,28,58,50,8,4,0,5,34,177,63,114,16,15,10,0,7,53,0,4,0,30,0,30,293,824
ASSAM,KARIMGANJ,2012,36,22,0,32,0,32,85,85,0,15,0,9,122,197,23,174,59,31,29,2,21,106,11,4,0,262,0,38,1129,2210
ASSAM,KOKRAJHAR,2012,110,42,0,27,0,27,90,65,25,4,0,6,77,220,77,143,2818,29,28,0,2350,97,3,31,0,84,2,30,411,6459
ASSAM,LAKHIMPUR,2012,37,10,13,62,0,62,128,97,31,6,0,15,105,184,48,136,18,10,12,0,0,86,0,25,0,19,0,121,1117,1968
ASSAM,MORIGAON,2012,20,33,0,58,0,58,88,88,0,5,1,13,58,98,33,65,109,18,50,2,3,436,4,25,0,115,0,123,190,1449
ASSAM,N.C.HILLS,2012,15,13,11,5,0,5,23,13,10,0,0,0,16,35,0,35,7,2,10,1,4,38,0,0,0,0,0,0,69,249
ASSAM,NAGAON,2012,74,86,9,173,0,173,351,348,3,39,0,93,337,540,159,381,184,94,109,2,63,828,10,245,3,875,0,150,1715,5980
ASSAM,NALBARI,2012,22,3,1,34,0,34,101,89,12,7,0,25,110,177,57,120,27,34,47,1,5,339,3,83,0,131,0,44,607,1801
ASSAM,R.P.O.,2012,2,0,0,0,0,0,8,6,2,2,0,0,4,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,79,100
ASSAM,SIBSAGAR,2012,71,60,0,78,0,78,168,153,15,5,0,32,145,427,100,327,24,26,98,3,17,282,5,134,0,269,0,75,767,2686
ASSAM,SONITPUR,2012,91,41,1,97,0,97,241,220,21,14,0,34,220,464,116,348,72,65,46,0,29,341,11,39,0,124,0,405,1645,3980
ASSAM,TINSUKIA,2012,86,32,6,64,0,64,160,142,18,5,0,61,128,496,35,461,10,69,32,1,8,202,1,43,0,137,0,88,915,2544
ASSAM,UDALGURI,2012,33,27,0,23,0,23,58,38,20,2,0,9,31,109,40,69,13,14,20,0,11,150,8,41,0,46,0,31,189,815
ASSAM,TOTAL,2012,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682
BIHAR,ARARIA,2012,81,107,15,53,0,53,122,78,44,7,2,16,39,220,37,183,190,16,34,0,38,514,21,8,7,32,0,98,906,2526
BIHAR,ARWAL,2012,20,72,5,5,0,5,26,24,2,1,0,6,29,60,3,57,32,11,16,0,4,375,13,0,0,22,0,25,136,858
BIHAR,AURANGABAD,2012,89,192,2,22,0,22,71,58,13,32,0,45,73,330,63,267,320,42,95,0,22,1148,27,2,0,110,0,176,481,3279
BIHAR,BAGAHA,2012,43,0,0,11,0,11,76,69,7,2,0,8,48,126,17,109,150,43,22,0,43,43,9,0,0,37,0,23,1045,1729
BIHAR,BANKA,2012,76,35,3,17,0,17,52,45,7,15,1,24,45,136,25,111,201,21,39,0,12,787,17,0,0,37,0,110,173,1801
BIHAR,BEGUSARAI,2012,120,261,0,11,0,11,143,113,30,14,0,53,107,425,125,300,295,21,46,0,29,1469,27,0,0,79,0,96,521,3717
BIHAR,BETTIAH,2012,83,150,5,35,0,35,166,141,25,6,2,24,136,653,183,470,483,68,115,7,20,2392,28,0,0,20,0,79,601,5073
BIHAR,BHABHUA,2012,48,43,23,10,0,10,45,38,7,3,0,16,54,238,95,143,129,31,16,0,28,902,21,0,0,42,0,42,176,1867
BIHAR,BHAGALPUR,2012,99,77,6,31,0,31,132,106,26,9,4,51,140,360,140,220,271,52,99,3,14,762,24,0,4,119,0,107,770,3134
BIHAR,BHOJPUR,2012,71,121,6,9,0,9,74,69,5,13,1,21,115,345,86,259,137,12,78,0,18,2188,38,0,0,56,0,78,465,3846
BIHAR,BUXAR,2012,56,110,7,21,0,21,89,70,19,13,0,36,107,306,104,202,218,65,81,2,38,345,28,29,0,86,0,43,886,2566
BIHAR,DARBHANGA,2012,78,407,24,44,0,44,207,150,57,9,5,46,86,460,166,294,812,148,174,1,25,1894,34,0,1,377,0,354,1128,6314
BIHAR,GAYA,2012,153,39,4,35,0,35,154,120,34,39,4,46,147,687,407,280,397,28,165,1,7,772,53,0,0,92,0,312,2947,6082
BIHAR,GOPALGANJ,2012,103,37,3,20,0,20,135,89,46,13,0,17,71,274,122,152,339,51,130,1,21,2173,43,0,0,190,0,60,278,3959
BIHAR,JAMALPUR RLY.,2012,8,9,0,1,0,1,2,0,2,3,0,8,0,186,16,170,4,0,0,0,0,28,0,0,0,0,0,0,15,264
BIHAR,JAMUI,2012,79,137,16,27,0,27,56,43,13,15,0,34,55,149,27,122,181,18,55,0,16,482,18,2,0,65,0,62,285,1752
BIHAR,JEHANABAD,2012,46,12,2,8,0,8,47,41,6,4,0,14,29,160,30,130,103,7,17,0,3,647,24,0,0,37,0,36,252,1448
BIHAR,KATIHAR,2012,91,94,2,73,0,73,137,112,25,13,2,32,62,400,176,224,229,106,86,1,32,1662,24,1,1,111,0,120,793,4072
BIHAR,KATIHAR RLY.,2012,13,1,1,0,0,0,8,6,2,3,0,4,3,166,8,158,1,2,5,0,1,34,0,1,0,1,0,2,71,317
BIHAR,KHAGARIA,2012,65,72,2,18,0,18,53,34,19,7,0,19,14,134,39,95,151,3,29,0,14,1151,12,0,0,41,0,98,374,2257
BIHAR,KISHANGANJ,2012,39,0,1,32,0,32,72,71,1,8,0,6,51,150,51,99,174,39,10,1,2,227,19,0,0,50,0,32,507,1420
BIHAR,LAKHISARAI,2012,40,86,2,13,0,13,39,28,11,7,0,13,26,107,26,81,141,10,48,0,6,290,10,3,0,55,0,57,285,1238
BIHAR,MADHEPURA,2012,56,130,4,31,0,31,77,56,21,10,2,37,30,203,56,147,314,42,58,0,12,1102,15,0,2,46,0,25,97,2293
BIHAR,MADHUBANI,2012,77,71,0,31,0,31,191,163,28,19,0,20,102,427,111,316,454,20,30,3,5,2109,27,0,0,195,0,141,965,4887
BIHAR,MOTIHARI,2012,124,735,6,22,0,22,233,198,35,27,1,46,213,553,154,399,728,104,182,5,21,1468,67,0,16,156,0,55,3071,7833
BIHAR,MUNGER,2012,68,32,3,9,0,9,65,49,16,8,1,28,33,166,39,127,140,42,90,4,1,415,8,1,0,40,0,59,616,1829
BIHAR,MUZAFFARPUR,2012,198,611,12,34,0,34,279,220,59,48,1,73,284,1469,751,718,427,28,292,0,8,2219,83,0,0,80,3,198,959,7306
BIHAR,MUZAFFARPUR RLY.,2012,11,0,2,2,0,2,1,0,1,3,0,10,3,301,50,251,12,0,11,0,0,0,0,0,0,0,0,0,197,553
BIHAR,NALANDA,2012,114,75,34,11,0,11,113,85,28,6,2,16,67,269,82,187,174,41,220,1,14,2540,79,7,1,116,0,97,996,4993
BIHAR,NAUGACHIA,2012,47,95,12,2,0,2,21,18,3,2,0,8,17,60,17,43,119,11,41,0,4,637,10,0,0,64,0,51,293,1494
BIHAR,NAWADAH,2012,82,30,4,18,0,18,89,57,32,5,1,18,52,187,70,117,261,61,102,0,12,602,29,0,0,13,0,155,1008,2729
BIHAR,PATNA,2012,356,86,17,49,0,49,376,300,76,38,0,119,552,3114,1503,1611,522,9,748,4,12,4157,97,19,1,377,0,510,2852,14015
BIHAR,PATNA RLY.,2012,11,9,0,2,0,2,8,5,3,6,4,9,0,777,59,718,11,2,13,1,0,13,3,16,0,2,0,0,201,1088
BIHAR,PURNEA,2012,97,228,2,39,0,39,142,95,47,16,3,17,68,171,60,111,175,109,143,0,137,2014,17,8,4,0,1,151,411,3953
BIHAR,ROHTAS,2012,132,214,4,26,0,26,130,94,36,23,0,34,183,583,195,388,222,13,78,0,12,593,44,15,0,92,0,184,1083,3665
BIHAR,SAHARSA,2012,53,198,6,16,0,16,95,76,19,1,0,35,44,194,64,130,251,54,74,2,14,303,10,0,0,72,0,53,946,2421
BIHAR,SAMASTIPUR,2012,99,241,15,24,0,24,131,112,19,7,5,38,55,351,108,243,320,49,82,1,57,428,34,0,0,114,0,159,2607,4817
BIHAR,SARAN,2012,128,289,13,23,0,23,178,137,41,17,1,37,144,651,189,462,370,36,93,0,32,734,74,0,0,138,0,154,2142,5254
BIHAR,SHEIKHPURA,2012,30,88,2,10,0,10,39,27,12,6,0,8,34,73,20,53,65,37,28,1,1,426,8,0,0,37,0,25,271,1189
BIHAR,SHEOHAR,2012,20,6,0,2,0,2,32,22,10,5,2,6,9,76,20,56,51,5,6,0,7,329,9,3,0,9,0,7,19,603
BIHAR,SITAMARHI,2012,97,35,7,20,0,20,167,143,24,27,6,41,118,482,231,251,170,11,24,0,28,2047,30,0,0,100,0,153,419,3982
BIHAR,SIWAN,2012,112,55,0,20,0,20,193,166,27,8,0,33,108,430,203,227,379,14,154,0,4,75,64,2,0,101,0,127,2500,4379
BIHAR,SUPAUL,2012,31,9,0,20,0,20,118,90,28,8,3,14,53,233,45,188,316,71,50,0,9,1243,15,0,0,79,0,98,256,2626
BIHAR,VAISHALI,2012,122,153,13,20,0,20,223,171,52,14,1,80,152,825,431,394,432,97,54,1,16,2088,62,1,0,196,0,219,417,5186
BIHAR,TOTAL,2012,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614
CHHATTISGARH,BALOD,2012,15,2,2,22,0,22,7,6,1,2,0,6,70,75,25,50,14,1,27,1,4,24,4,50,1,9,0,93,688,1117
CHHATTISGARH,BALODA BAZAR,2012,24,18,2,45,0,45,18,18,0,3,0,26,182,181,57,124,39,6,18,0,20,858,0,98,10,37,0,131,655,2371
CHHATTISGARH,BALRAMPUR,2012,39,18,0,64,0,64,5,0,5,4,0,7,33,48,0,48,14,3,14,0,3,87,0,52,2,30,0,70,457,950
CHHATTISGARH,BEMETARA,2012,12,15,0,24,0,24,19,18,1,0,0,8,57,105,35,70,19,0,16,1,6,30,3,61,5,29,0,87,826,1323
CHHATTISGARH,BILASPUR,2012,74,42,1,47,0,47,33,28,5,7,0,65,428,484,240,244,140,11,82,12,25,1612,10,169,11,95,0,177,1051,4576
CHHATTISGARH,BIZAPUR,2012,46,58,0,4,0,4,3,3,0,7,0,7,13,14,2,12,3,0,1,2,3,10,0,5,0,1,0,20,94,291
CHHATTISGARH,DANTEWARA,2012,40,12,1,7,0,7,1,1,0,3,0,0,17,16,4,12,7,0,5,0,7,16,0,4,0,5,0,44,175,360
CHHATTISGARH,DHAMTARI,2012,17,7,1,21,0,21,2,2,0,0,0,7,97,95,46,49,14,4,24,1,3,51,1,36,11,15,0,93,647,1147
CHHATTISGARH,DURG,2012,52,44,1,91,0,91,55,47,8,1,0,32,377,793,362,431,31,17,125,1,21,165,9,178,25,111,0,261,5081,7471
CHHATTISGARH,GARIYABAND,2012,13,13,2,19,0,19,6,2,4,2,0,5,53,75,20,55,18,2,12,0,6,267,1,28,5,6,0,43,255,831
CHHATTISGARH,GRP RAIPUR,2012,3,1,1,2,0,2,7,6,1,0,0,2,3,196,10,186,0,0,2,0,0,9,0,5,0,2,0,0,56,289
CHHATTISGARH,JAGDALPUR,2012,42,22,2,36,0,36,11,10,1,0,0,9,76,81,48,33,27,3,18,3,21,455,0,20,0,8,0,114,506,1454
CHHATTISGARH,JANJGIR,2012,51,16,1,33,0,33,21,19,2,2,0,32,236,379,188,191,123,14,50,1,23,1162,11,104,13,123,0,173,719,3287
CHHATTISGARH,JASHPUR,2012,54,27,1,80,0,80,60,19,41,1,1,10,67,81,31,50,18,8,23,0,6,77,2,29,0,31,0,71,590,1237
CHHATTISGARH,KABIRDHAM,2012,17,20,0,22,0,22,14,14,0,0,0,11,62,69,12,57,25,0,23,0,3,564,1,58,2,20,0,54,411,1376
CHHATTISGARH,KANKER,2012,32,21,1,23,0,23,9,6,3,5,0,5,30,39,22,17,15,2,13,0,10,17,2,18,1,19,0,85,660,1007
CHHATTISGARH,KONDAGAON,2012,21,8,0,11,0,11,7,0,7,0,0,0,20,23,0,23,3,0,3,0,2,126,0,4,3,2,0,54,250,537
CHHATTISGARH,KORBA,2012,44,9,1,43,0,43,16,15,1,1,0,8,114,180,87,93,33,9,41,4,11,692,4,59,7,42,0,150,749,2217
CHHATTISGARH,KORIYA,2012,38,17,0,42,0,42,13,12,1,0,0,8,104,77,31,46,27,1,21,3,13,596,5,86,2,65,0,68,395,1581
CHHATTISGARH,MAHASAMUND,2012,33,9,0,28,0,28,38,37,1,1,0,15,144,174,64,110,51,7,38,3,9,98,4,63,4,33,0,128,1240,2120
CHHATTISGARH,MUNGELI,2012,18,4,0,6,0,6,13,13,0,0,0,9,83,94,24,70,40,5,13,0,12,31,2,24,3,26,0,39,590,1012
CHHATTISGARH,NARAYANPUR,2012,12,20,0,5,0,5,6,1,5,11,0,1,7,7,2,5,0,1,5,0,7,26,0,4,2,0,0,15,57,186
CHHATTISGARH,RAIGARH,2012,61,41,6,69,0,69,15,14,1,2,0,51,237,430,259,171,63,21,31,4,10,659,6,81,8,55,0,201,1002,3053
CHHATTISGARH,RAIPUR,2012,56,46,2,111,0,111,22,14,8,3,1,46,536,1238,652,586,102,35,214,8,47,2599,8,148,38,109,0,339,2615,8323
CHHATTISGARH,RAJNANDGAON,2012,45,29,1,31,0,31,9,7,2,1,0,17,145,173,74,99,19,7,49,9,29,71,3,52,7,17,0,162,2159,3035
CHHATTISGARH,SARGUJA,2012,56,28,0,73,0,73,18,18,0,2,2,13,73,124,46,78,36,7,19,0,15,58,0,89,1,25,0,88,1015,1742
CHHATTISGARH,SUKMA,2012,24,30,0,1,0,1,7,5,2,6,0,3,8,7,2,5,3,0,2,0,10,14,0,2,0,2,0,15,71,205
CHHATTISGARH,SURAJPUR,2012,59,16,0,74,0,74,15,15,0,0,0,9,62,83,15,68,26,6,36,0,4,481,5,74,1,63,0,113,373,1500
CHHATTISGARH,TOTAL,2012,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598
GOA,NORTH GOA,2012,28,20,3,26,0,26,15,10,5,3,0,11,189,563,175,388,72,34,131,11,19,151,0,29,14,11,0,132,640,2102
GOA,SOUTH GOA,2012,17,15,0,29,0,29,9,6,3,3,0,14,167,352,125,227,50,30,74,5,15,115,0,20,2,13,0,101,475,1506
GOA,TOTAL,2012,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608
GUJARAT,AHMEDABAD COMMR.,2012,90,49,7,63,0,63,229,183,46,24,0,603,701,3622,2252,1370,159,298,246,21,16,1320,11,79,7,1448,0,242,12112,21347
GUJARAT,AHMEDABAD RURAL,2012,34,33,8,5,0,5,67,67,0,15,0,30,125,324,123,201,73,64,15,8,3,518,0,33,0,163,0,329,1826,3673
GUJARAT,AHWA-DANG,2012,7,0,0,1,0,1,1,1,0,1,0,0,9,10,3,7,5,0,5,0,2,14,0,1,1,8,0,21,123,209
